title,link
air up GmbH,https://www.asa.org.uk/rulings/air-up-gmbh-a25-1281155-air-up-gmbh.html
GreenPixel Ltd t/a Hotel Merge Empire,https://www.asa.org.uk/rulings/greenpixel-ltd-a25-1279874-greenpixel-ltd.html
Cloud Whale Interactive Technology,https://www.asa.org.uk/rulings/cloud-whale-interactive-technology-a25-1278753-cloud-whale-interactive-technology.html
Whaleco UK Ltd t/a Temu,https://www.asa.org.uk/rulings/whaleco-uk-ltd-a25-1278825-whaleco-uk-ltd.html
Belle Baby Ltd,https://www.asa.org.uk/rulings/belle-baby-ltd-a25-1273764-belle-baby-ltd.html
Wahed Invest Ltd,https://www.asa.org.uk/rulings/wahed-invest-ltd-g24-1262171-wahed-invest-ltd.html
Jaded London Ltd,https://www.asa.org.uk/rulings/jaded-london-ltd-a24-1262531-jaded-london-ltd.html
get_0ut_0f_debt Ltd,https://www.asa.org.uk/rulings/get_0ut_0f_debt-ltd-a24-1262715-get_0ut_0f_debt-ltd.html
Fern Brady,https://www.asa.org.uk/rulings/fern-brady-a24-1255841-fern-brady.html
247 Home Furnishings Ltd t/a 247Blinds,https://www.asa.org.uk/rulings/247-home-furnishings-ltd-a24-1251708-247-home-furnishings-ltd.html
John Mills Ltd t/a JML Direct,https://www.asa.org.uk/rulings/john-mills-ltd-a24-1228444-john-mills-ltd.html
Gamehaus Network Technology Co Ltd,https://www.asa.org.uk/rulings/gamehaus-network-technology-co-ltd-a23-1218813-gamehaus-network-technology-co-ltd.html
Grandbing Technology Co Ltd t/a On Fancy,https://www.asa.org.uk/rulings/grandbing-technology-co-ltd-a23-1219254-grandbing-technology-co-ltd.html
Outsourceful Ltd t/a Outsourceful,https://www.asa.org.uk/rulings/outsourceful-ltd-a23-1208780-outsourceful-ltd.html
FunPlus International AG t/a Funplus,https://www.asa.org.uk/rulings/funplus-international-ag-a23-1215767-funplus-international-ag.html
GIRLvsCANCER,https://www.asa.org.uk/rulings/girlvscancer-g23-1218376-girlvscancer.html
Howe Tools Ltd,https://www.asa.org.uk/rulings/howe-tools-ltd-g23-1215545-howe-tools-ltd.html
Whaleco UK Ltd t/a Temu,https://www.asa.org.uk/rulings/whaleco-uk-ltd-g23-1202845-whaleco-uk-ltd.html
ThruDark Ltd,https://www.asa.org.uk/rulings/thrudark-ltd-g23-1206049-thrudark-ltd.html
Alibaba.com Singapore E-commerce Private Ltd t/a Alibaba.com,https://www.asa.org.uk/rulings/alibaba-com-singapore-e-commerce-private-ltd-a23-1196361-alibaba-com-singapore-e-commerce-private-ltd.html
Tonic Nutrition Ltd t/a Tonic Health,https://www.asa.org.uk/rulings/tonic-nutrition-ltd-a24-1269415-tonic-nutrition-ltd.html
Trip Drink Ltd,https://www.asa.org.uk/rulings/trip-drink-ltd-a25-1277097-trip-drink-ltd.html
Viva!,https://www.asa.org.uk/rulings/viva--g25-1285745-viva-.html
Chequp Health Ltd,https://www.asa.org.uk/rulings/chequp-health-ltd-a24-1264775-chequp-health-ltd.html
Detox Today,https://www.asa.org.uk/rulings/detox-today.html
Express Healthcare Ltd t/a pharmacyonline.co.uk,https://www.asa.org.uk/rulings/express-healthcare-ltd-a24-1272389-express-healthcare-ltd.html
Glamour Shots,https://www.asa.org.uk/rulings/glamour-shots-a25-1287166-glamour-shots.html
Hexpress Healthcare Ltd t/a HealthExpress.co.uk,https://www.asa.org.uk/rulings/hexpress-healthcare-ltd-a24-1264776-hexpress-healthcare-ltd.html
Juniper Technologies UK Ltd,https://www.asa.org.uk/rulings/juniper-technologies-uk-ltd-a24-1264770-juniper-technologies-uk-ltd.html
MyFlowers Ltd t/a MyFlowers,https://www.asa.org.uk/rulings/myflowers-ltd-a25-1285210-myflowers-ltd.html
Nipper&Co Ltd t/a Nipper & Co,https://www.asa.org.uk/rulings/nipper-co-ltd-a25-1284063-nipper-co-ltd.html
