title,background,ad_description,issue,response,assessment,action,url
ASA Ruling on air up GmbH,,"A paid-for TikTok ad for air up, a water bottle company, seen on 13 February 2025, featured a man lying on a road marking of a bicycle and pretending to pedal. A voiceover said, “What the fuck, are you high? Get hydrated.” On-screen text stated, “What the f#%l? Are you hy?”. A caption stated, “Ready to Get Hy?”.",The complainant challenged whether the ad was offensive.,"air up GmbH said that the phrase “Are you high” was not a reference to the use of drugs. They said that the phrase was a colloquial reference to someone acting strangely or ‘out of their mind’. They said that the use of the word “fuck” was not offensive in the context of the ad and was used as a colloquial expression of surprise and frustration. On both of those points, air up provided various examples which they believed demonstrated the colloquial meaning of those phrases.air up said that the ad was no longer running.","The CAP Code stated that ads must not contain anything that was likely to cause serious or widespread offence. The ad was a TikTok video which featured a man pretending to pedal whilst lying on top of a road marking of a bicycle. The voiceover stated, “What the fuck? Are you high?” and on-screen text stated, “What the f#%I? Are you Hy?”. We understood that the ad was targeted to a general adult audience. We considered that consumers would understand the phrase “are you high”, in combination with the imagery used, to imply that the man was behaving out of character due to being under the influence of recreational drugs. We understood that while the use of “high” was a play on the word “hydrated”, the use of drugs was not relevant to the product. We considered that, by presenting the effects of drugs as a subject of humour and including the caption “Ready to get Hy”, the reference trivialised recreational drug use by humourising the serious psychological effects it could have on an individual. Although we acknowledged that the word “fuck” had numerous connotations, consumer research by the ASA and other bodies showed that the use of words such as “fuck” were likely to offend to such an extent that they should not be used at all in marketing communications even if they were relevant to the product, unless very carefully targeted to an audience that was unlikely to be offended by them. We understood that was not the case for this ad. For those reasons, we concluded that the ad was irresponsible and likely to cause serious and widespread offence. The ad breached CAP (Edition 12) rules 1.3 (Social Responsibility) and 4.1 (Harm and Offence).","The ad must not appear again in the form complained of. We told air up GmbH to ensure their ads were prepared responsibly and did not contain anything that was likely to cause serious or widespread offence by, for example, avoiding expletives and claims which trivialised recreational drug use.",https://www.asa.org.uk/rulings/air-up-gmbh-a25-1281155-air-up-gmbh.html
ASA Ruling on GreenPixel Ltd t/a Hotel Merge Empire,,"An in-game ad for the mobile game Hotel Merge Empire, seen in the Block Puzzle mobile app on 19 February, showed a woman holding a baby while standing on a porch. She was surrounded by a man, a younger woman and an older woman. The man pointed to her and said “NOW”, while the younger woman pushed her down the stairs. The older woman then forcibly took the baby from the woman’s arms, as she was shown saying “NO!”. The woman walked back up to the porch and was then kicked back down the stairs again by the man.","The complainant, who believed that the ad trivialised and condoned domestic violence, challenged whether the ad was offensive and irresponsible.","GreenPixel Ltd t/a Hotel Merge Empire said that they did not intend to cause offence and took their responsibility to adhere to the CAP Code seriously. The ad was part of a test campaign, which they said was shown to only a small number of users. However, they understood the importance of compliance, regardless of scale. They said that they placed age-targeting measures in all their ad campaigns to ensure that their content was only viewed by mature audiences. The animated, cartoonish style of the ad was consistent with the visual identity of their game. They believed that style was integral to their brand, and its use in the ad was intended to ensure visual design consistency, rather than to trivialise serious issues. They said the storyline shown in the ad did not depict domestic violence because the woman shown in the storyline was not the child’s mother or a member of the family. Instead, the woman was portrayed as the child’s nanny, who had failed to meet the expected standards of care for her role. The father’s aggression was driven by his fear that she might attempt to take the child and reflected an exaggerated response in the context of the narrative. They highlighted that the story concluded with the child returning unharmed to a loving family, which they believed reinforced that lasting harm did not occur. They confirmed that the ad had been withdrawn, and that it, along with similar creatives, would not be used in future. Big Cake Group Ltd, the creator of the Block Puzzle game in which ad had appeared, said that they were unable to identify which network served the ad. This was because they worked with several ad networks who sold their inventory using a bidding model. They did however provide a list of all of the ad networks that they used.","The CAP Code required marketers to avoid causing serious or widespread offence and to ensure advertising was prepared with a sense of responsibility to consumers and to society. It further stated that marketing communications must contain nothing that was likely to condone or encourage violence. The ad showed a woman being pushed down the stairs, outside a home, by another woman, while holding a baby. After being pushed, the woman was then shown having the baby forcibly taken from her and appeared visibly distressed as she shouted “NO”. In her attempt to take the baby back, she was kicked down the stairs for a second time by a man, who was depicted in an angry and aggressive manner. We considered that consumers would understand that the woman and baby had been physically assaulted. We considered there was nothing in the ad to indicate that the woman was the baby’s nanny, and we further considered consumers would likely assume that the woman was the baby’s mother, because of her visible distress after the baby was taken from her care. On that basis, we considered that some consumers would understand that the woman was, or had previously been in, a relationship with the male character. Irrespective of the nature of the relationships between the characters, we considered the violence depicted in the ad was unacceptable. Furthermore, the ad featured bright colours and a cartoonish animation style which we considered gave the ad a playful and light-hearted tone. We considered that the ad appeared to present portrayals of assault with the purpose of entertaining viewers and made light of violence. We considered that the ad, in portraying assault in that way, had the effect of condoning violence, including domestic violence, and furthermore, was irresponsible and likely to cause serious and widespread offence, particularly in the context of an ad for a mobile app game. On that basis, we concluded that the ad breached CAP Code (Edition 12) rules 1.3 (Social responsibility), 4.1 and 4.4 (Harm and offence).","The ad must not appear again in the form complained of. We told GreenPixel Ltd t/a Hotel Merge Empire to ensure that their ads were socially responsible and did not cause serious or widespread offence, including by trivialising, condoning or encouraging domestic violence.",https://www.asa.org.uk/rulings/greenpixel-ltd-a25-1279874-greenpixel-ltd.html
ASA Ruling on Cloud Whale Interactive Technology,"Summary of Council decision: Two issues were investigated, both of which were Upheld.","An in-game ad for the mobile app PolyBuzz, an AI chat platform, seen on 10 February 2025 in the app game ‘Room Sort’ featured an animated image of a woman who had her mouth open. The image was partially obscured by overlaid text that stated, “Me after finding a cai alternative with No Filters!!”. It also featured a text-message exchange in which one party asked, “so do you want me to kiss you”, “or do you want me to f**k you”, “you know what I want to hear from you”, “say something” [sic]. The other party replied, “Please taste me”.","The complainant, who understood that the 'Room Sort' game was classified as being suitable for all ages, challenged whether the ad:","Cloud Whale Interactive Technology did not respond to the ASA’s enquiries. Gamincat Inc, the developer of the game in which the ad was seen, said that they had implemented restrictions on adult-related ads through ad network filters but somehow this ad had been displayed. They had therefore asked ad network companies to block the advertiser, so that it would not appear again. Gamincat Inc also told us that they had not received any direct complaints about the ad.","The ASA was concerned by Cloud Whale Interactive Technology’s lack of response and apparent disregard for the Code, which was a breach of CAP Code (Edition 12) rule 1.7 (Unreasonable delay). We reminded them of their responsibility to respond promptly to our enquiries and told them to do so in future. The CAP Code required marketers to avoid causing serious or widespread offence and to ensure advertising was prepared with a sense of responsibility to consumers and to society. The ad depicted a text exchange between two characters which was of a sexual nature. It featured the text “Me after finding a cai alternative with No Filters!!” which we considered users of the app would be likely to understand to mean an AI-generated character which had no filters or restrictions on what it could say. It included the text “do you want me to f**k you” [sic]. We considered that those who saw the ad would understand that it implied the word ‘fuck’ and the question was therefore pertaining to sexual intercourse. We considered ‘fuck’ a word so likely to offend that it should not generally be used or alluded to in advertising. The ad also featured the text “Please taste me” which we considered, in that context, some users of the app were likely to understand as being sexual innuendo alluding to engaging in oral sex. The ad had appeared in the game 'Room Sort'. 'Room Sort' was rated as suitable for those aged 12 years and older which meant it could be downloaded by children. The advertiser provided no information about how they targeted their advertising, or if they used interest-based criteria to do so. Because the ad contained extremely offensive language which was also pertaining to sexual intercourse in a medium that would have had broad appeal, including to children, as well as other sexual references, we considered it was likely to cause serious and widespread offence, and had been targeted irresponsibly. We therefore concluded that the ad breached the Code. The ad breached CAP Code (Edition 12) rules 1.3 (Social responsibility) and 4.1 (Harm and offence).","The ad must not appear again in the form complained of. We told Cloud Whale Interactive Technology to ensure that future ads were socially responsible and did not cause serious or widespread offence, including by avoiding references to expletives or sexual references unless in a suitably targeted medium. We also told them to ensure that their ads were responsibly targeted. We referred the matter to CAP’s Compliance team.",https://www.asa.org.uk/rulings/cloud-whale-interactive-technology-a25-1278753-cloud-whale-interactive-technology.html
ASA Ruling on Whaleco UK Ltd t/a Temu,,"An in-game ad for Temu seen on 11 February 2025 in the app Spider Solitaire Fun. The ad included a picture of a greetings card, on which text stated, “I’VE MET SOME CUNTS IN MY TIME, BUT YOU, MY FRIEND, ARE THE CUNTIEST HAPPY BIRTHDAY”.",The complainant challenged whether the ad was likely to cause serious or widespread offence.,"Whaleco UK Ltd t/a Temu stated that the ad did not reflect their usual standards of practice and was the result of an isolated incident caused by a temporary glitch in their screening process during a system upgrade for enhancing the screening process. They said that the word “cunt” was already on their blocklist and would normally have been blocked automatically. However, the upgrade caused the product image (a birthday card) to bypass normal checks. They had since run a full system search to ensure no blocklisted terms were being used across other advertising channels. They stated that the ad was served via Meta Audience Network and was chosen by Meta’s algorithm, rather than by Temu directly. They said the ad had been removed proactively before they were contacted by the ASA. Temu emphasised their ongoing collaboration with the ASA and commitment to UK advertising compliance, including implementing more robust processes to avoid similar issues in future.","The CAP Code required marketers to avoid causing serious or widespread offence. The ad, for a birthday card, included the swear word “CUNTS” and “CUNTIEST” and appeared in a solitaire game app rated as being suitable for those aged four years and older. Consumer research by the ASA showed that use of words such as “CUNT” was so likely to offend that they should not be used at all in marketing communications. That was the case even if they were relevant to the product, unless very carefully targeted to an audience that was unlikely to be offended by them. We acknowledged Temu’s commitment to collaborate with the ASA and their proactive removal of the ad, which appeared in error. However, we considered that “CUNT” was a particularly offensive swear word. We therefore concluded that its appearance in the untargeted medium of the solitaire game app was likely to cause both serious and widespread offence. The ad breached CAP Code (Edition 12) rule 4.1 (Harm and Offence).","The ad should not appear again in the form complained of. We told Whaleco UK Ltd t/a Temu to ensure their ads did not cause serious or widespread offence, including by avoiding references to expletives.",https://www.asa.org.uk/rulings/whaleco-uk-ltd-a25-1278825-whaleco-uk-ltd.html
ASA Ruling on Belle Baby Ltd,"Update to Advertising Codes (7 April 2025): On 7 April 2025, the Advertising Codes were updated to reflect the revocation and restatement of the Consumer Protection from Unfair Trading Regulations 2008 (“CPRs” – the legislation from which the majority of the CAP and BCAP rules on misleading advertising derived) by the Unfair Commercial Practices provisions in the Digital Markets, Competition and Consumers Act 2024 (“DMCCA”). On that date, the wording of a number of the rules in the Advertising Codes was changed to reflect relevant changes introduced by the DMCCA on 6 April 2025. Given that the complaint that formed the subject of this ruling were received before 7 April 2025, the ASA considered the ad and complaint under the wording of the rules that existed prior to 7 April 2025, and the Ruling (and references to rules within it) should therefore be read in line with this wording, available here – CAP Code and BCAP Code .","A website for Belle Baby, www.bellebaby.co.uk, a retailer of baby products seen on 22 December 2024, listed a “Cupcake Swimsuit” for sale. The ad contained an image of a young girl wearing the swimsuit, popping her hip to one side and looking down at a bow on the side of the swimsuit.",The complainant challenged whether the ad portrayed a child in a sexual way.,Belle Baby Ltd said they had removed the image from their website.,"The CAP Code stated that marketing communications must not portray or represent anyone who was, or seemed to be, under 18 years of age in a sexual way. The girl was aged around five or six years. She appeared to be wearing eye shadow, heavy mascara and lipstick and had her long hair styled in curls. She was standing in a pose in which her hip was popped to one side, her back was arched and her eyes were downcast to look at a bow sewn on to the hip of her swimsuit, which she was also holding with one hand. We considered the pose and styling would be typically associated with older models, rather than being the natural posture or pose of a child. Although the swimsuit she was wearing was appropriate and intended for a child of her age, and the ASA acknowledged that young children typically enjoyed dressing up and looking older, we nevertheless considered that the combination of her styled hair and heavy make-up, her downward and submissive-looking glance and the way her hip was popped to one side had the effect of portraying her in a sexual way. We therefore concluded that it breached the Code. The ad breached CAP Code (Edition 12) rule 4.8 (Harm and offence).",The ad must not appear again in the form complained of. We welcomed Belle Baby Ltd’s decision to withdraw the ad. We told them to ensure their future ads did not include images that portrayed anyone under 18 in a sexual way.,https://www.asa.org.uk/rulings/belle-baby-ltd-a25-1273764-belle-baby-ltd.html
ASA Ruling on Wahed Invest Ltd,,"Six posters for Wahed Invest Ltd, an online Halal investment platform, seen in September and October 2024 on various Transport for London (TfL) services, including London Underground tubes and buses: a. The first poster featured images of two men pointing upwards with their index fingers, and US dollar banknotes on fire. Large text stated, “Join the Money Revolution” above the advertiser’s logo. Smaller text stated, “Capital at risk. Wahed Invest Ltd is authorised and regulated by the Financial Conduct Authority”. b. The second poster featured similar images as seen in ad (a) of two men pointing upwards with their index fingers, and US dollar banknotes on fire. Large text stated, “Join the Money Revolution”. c. The third poster included the same text and small print as ad (a). The image showed a man holding an open briefcase filled with US dollar and Euro banknotes on fire. d. The fourth poster included the same briefcase image as ad (c), and the same small print as the other ads. A large heading stated, “Withdraw from Exploitation”. Text below stated, “Charging people to borrow money was once called exploitation. Sadly, that perception has changed and now interest has caused a massive wealth gap, enriching the few while the majority get poorer. Join the growing community moving their money to a fairer system, one that serves you! Download Wahed now. Join the Money Revolution”. e. The fifth poster included the same briefcase image as ad (c). Large text stated, “Withdraw from Riba”. Smaller text stated, “Join the Money Revolution. Capital at risk”. f. The sixth poster included the same text and small print as ad (a). It featured a similar image seen in ad (a) of one man pointing upwards and US dollar and Euro banknotes on fire.",Seventy-five complainants challenged whether the ads were offensive.,"Wahed Invest Ltd believed that although their ads were thought-provoking, they were not offensive. They explained they were a digital investment platform which allowed consumers who were predominantly Muslim to invest in an ethical manner which aligned with their faith and values. They said a major component of their platform was that it did not charge consumers interest on loans. They explained that their ads often used the term ‘Riba’, which was an Arabic word that meant ‘excess’ and was commonly used to describe the prohibition of interest under Islamic law. Wahed Invest provided links to several articles on their website, as well as external reports, which they believed highlighted the ways in which interest, or Riba, contributed to social and financial inequality. They also believed inflation was not a properly understood concept and provided a survey which supported that view. They believed it was important to educate people to properly understand interest. They believed Muslims who held the belief that interest contributed to financial inequality had limited options for where to store their money and understood that some often requested for financial institutions to not pay them interest. They believed that, due to rising inflation, consumers who followed Islamic law by not accepting interest on savings suffered from further long-term wealth inequality than those who did accept interest. They said their advertising stated, “Interest has caused a massive wealth gap, enriching the few while the majority get poorer”. They said the burning of banknotes within their ads was designed to be a powerful visual illustration that money stored in a way that was growing at a rate lower than inflation created a decrease in value and purchasing power in real terms. The purpose of the ads was therefore to show that, when inflation grew faster than the rate of savings, money was akin to ‘going up in flames’. They believed all viewers, including those who were not Muslim, would have understood that expression. They said the ads had not criticised specific groups and that they used US dollar and Euro banknotes because they were amongst the most recognised currencies in the world. The purpose of the ads was to promote ethical investing as defined by Islamic law. Wahed Invest acknowledged that currencies were a symbol of national identity but believed the burning of banknotes was not offensive and was portrayed in popular culture, like film and TV. They also believed the burning of money was a commonly understood concept. For example, due to hyperinflation, there had been famous examples of people burning money. They said popular phrases such as ‘money to burn’ and ‘burning a hole in my pocket’ were used to describe someone who had money to spend. They also said the phrase ‘burn rate’ was used to describe how quickly a company was spending money. They believed that, had the idea of burning money been a cause for widespread offence, such language or visual representations would not be as commonly used or as easily understood in society as it was. TfL said their advertising partners, which included Global, reviewed all campaigns before they were approved to run on the network. They said in some cases, such as with ads (a)–(f), TfL also reviewed campaigns internally. They believed the ads complied with TfL’s ad policy and the CAP Code. They received some complaints about the ads and had paused all campaigns from Wahed Invest pending the outcome of the investigation. Global said they reviewed the ads internally and submitted them to the CAP Copy Advice team, who considered they were unlikely to raise issues under the CAP Code. They said they had not received any complaints about the ads. The ads were no longer appearing.","The CAP Code stated that ads must not contain anything that was likely to cause serious or widespread offence. Particular care must be taken to avoid causing offence on certain grounds, including race (which includes nationality). We acknowledged Wahed Invest’s view that the burning of banknotes illustrated that money which grew at a rate lower than inflation decreased in value in real terms. The ads represented the expression that viewers’ money was ‘going up in flames’ and that images of burning money were commonly encountered. However, regardless of whether viewers would have understood that message or understood it as a defiant act designed to show a challenge to financial institutions, the currencies which were burned in all of the ads were clearly visible as US dollar and Euro banknotes. In the case of the US dollars depicted, in all instances the ads showed the words “The United States of America” in flames. The ads were shown on several sites across the TfL network, including on London Underground tubes, which was an untargeted medium, and they were therefore likely to be seen by many people. It was also a service regularly used by tourists. Due to the vast number of people who used TfL services and because London was a tourist hotspot, people from the United States or Eurozone countries would have seen the ads. We considered some viewers, particularly people from the United States or Eurozone countries, would have viewed their nation’s currency as being culturally significant and a symbol of their national identity. Although we acknowledged Wahed Invest’s view that they had not directly criticised a specific group, and that depictions of burning banknotes were commonly encountered, we considered the burning of banknotes would have caused serious offence to some viewers. We therefore concluded that the ads were likely to cause serious offence. The ads breached CAP Code (Edition 12) rule 4.1 (Harm and offence).","The ads must not appear again in the forms complained of. We told Wahed Invest Ltd to ensure that future ads did not cause serious offence, including by featuring images of burning US dollar or Euro banknotes.",https://www.asa.org.uk/rulings/wahed-invest-ltd-g24-1262171-wahed-invest-ltd.html
ASA Ruling on Jaded London Ltd,,"An Instagram post by Jaded London, a clothing retailer, seen on 29 September 2024, featured two images. The first image featured a nude woman wearing a motorbike helmet and boots. She was placed between two motorbike wheels and was holding the front wheel, while her feet were on the back wheel. The second image featured a woman wearing a motorbike helmet, boots and a faux fur coat that was raised to expose her bottom. She was placed between two motorbike wheels and was holding the front wheel, while her feet were on the back wheel. A caption on the post stated “Introducing our newest collaboration with @newrock. 4 styles. Hand crafted in Spain. Launching 3rd October. Stay tuned”.","The complainant, who believed that the images objectified and sexualised women, challenged whether the ad was offensive and promoted a harmful gender stereotype.","Jaded London Ltd believed that the ad did not objectify or sexualise women. They said the purpose of the ad was to celebrate the strength of the female form and had received positive feedback from their customers, who they believed were predominately female. They said they wanted to ensure their customers felt respected.","The CAP Code stated that ads must be prepared with a sense of responsibility to consumers and to society, must not cause serious or widespread offence and must not include gender stereotypes that were likely to cause harm. The women were seen holding the front wheels of a motorbike while their legs were on the back wheels, which meant that their bodies and arms were stretched out in a horizontal position. That gave the impression that they formed the main component of a bike. The ASA considered this suggested they should be viewed as parts of machinery and as objects, rather than as people. Both women were wearing motorbike helmets, meaning their faces were not visible. We considered obscuring the women’s faces made their bodies the focus of the ad and further presented them as objects. The women’s bodies were positioned so their buttocks were in the place of the motorbike seat and both women’s legs were bent at the knees. That had the effect of raising their buttocks in a manner which would have been understood as being sexually suggestive, as well as being a central focus of the ad. The woman’s body in the first image was entirely naked, meaning her breasts and buttocks were exposed, which added to that sexual impression. The woman in the second image was wearing a faux fur coat. However, the coat was raised, which exposed both her legs and her buttocks and made them the focus of the image. We acknowledged that the raised coat could have been interpreted as a reference to a motorbike moving at speed as the wind blew the coat upwards. However, we considered exposing her buttocks in that manner gave the image a voyeuristic feel. We considered that by presenting the women as motorbikes, in conjunction with the nudity and sexually suggestive position in which their bodies were posed, the images featured the harmful gender stereotype that women were sexual objects. Although the ad promoted a shoe brand, we considered the women’s bodies were the focus of the images, not the boots, and the nudity was not relevant to the products.For those reasons, we considered that the ad objectified the women depicted and gave the impression that their bodies were sexual objects. We therefore concluded that the ad included a harmful gender stereotype and was likely to cause serious offence. The ad breached CAP (Edition 12) rules 1.3 (Social responsibility), 4.1 and 4.9 (Harm and offence).","The ad must not appear again in its current form. We told Jaded London Ltd to ensure that future ads were socially responsible and did not cause serious offence, including by featuring a harmful gender stereotype by objectifying or sexualising women.",https://www.asa.org.uk/rulings/jaded-london-ltd-a24-1262531-jaded-london-ltd.html
ASA Ruling on get_0ut_0f_debt Ltd,,"A TikTok video from the get_0ut_0f_debt TikTok account, seen in September 2024, showed a man standing on a chair in an empty office. He placed a looped length of cord around his neck. The other end of the cord was suspended above his head. Text stated, “Had to sleep here last night because got evicted due to debt, everyone knows I’m not in a good place, can’t take it any more… can you relate?” The scene then cut to colleagues running through the door. The man was lying face down and motionless on the floor with the cord around his neck and the other end of the cord reaching up towards the ceiling. One of the colleagues attempted to rouse the man and dialled 999 on their mobile phone. The man remained lying on the floor as the camera zoomed out. The soundtrack to the video featured the song lyric “One step closer”.","The Insolvency Service challenged whether the ad was irresponsible, distressing and offensive.","get_0ut_0f_debt Ltd t/a get_0ut_0f_debt said the video was an organic post rather than a paid ad. They said they posted regularly on a variety of subjects. Their aim was to highlight mental health issues and their causes. They said on reflection they could appreciate why the post, which was no longer appearing, might have been perceived in the way it had. They gave an assurance that they would not repeat the approach and that they would remove any posts of a similar nature. They intended to seek guidance in future to ensure that their content was in line with the Code.","The ASA first assessed whether the post was an ad for the purposes of the Code. The video was posted on get_0ut_0f_debt’s business account on TikTok. Text showing the TikTok handle for the page appeared on screen throughout the video. We considered that viewers would understand that the video, which referenced debt problems, promoted the service offered by get_0ut_0f_debt. We therefore considered that the video constituted an ad for the purposes of the Code. The CAP Code required that ads be prepared with a sense of responsibility to the audience and to society and not contain anything that was likely to cause serious or widespread offence. They must not cause fear or distress without justifiable reason and, if it could be justified, the fear or distress should not be excessive. The video showed a man placing a cord around his neck. He was then seen lying face down on the floor and did not respond to an attempt to rouse him. The on-screen text referred to eviction due to debt and stated, “… everyone knows I’m not in a good place, can’t take it any more”. We considered that viewers would understand that the man was distressed due to being in debt and had chosen to end his life because of his financial situation. We considered that the depiction of colleagues rushing to help, alongside the implication that it was too late to save the man, added to the distressing tone. We considered that the ad, in highlighting and demonstrating a method of suicide, and creating an association between debt and suicide, was irresponsible, and that the graphic nature of the portrayal was likely to cause serious offence, and significant distress, which was not justified by its context. In particular, we considered that the question “can you relate?” was irresponsible in appealing to consumers who were experiencing problems with debt, who were likely to be particularly vulnerable. We concluded that the ad was irresponsible and likely to cause serious offence and unjustified distress. The ad breached CAP Code (Edition 12) rules 1.3 (Social responsibility), 4.1 and 4.2 (Harm and offence).","The ad must not appear again in the form complained of. We told get_0ut_0f_debt Ltd t/a get_0ut_0f_debt to ensure that their future ads were responsible and that they must not cause serious or widespread offence, or unjustified distress.",https://www.asa.org.uk/rulings/get_0ut_0f_debt-ltd-a24-1262715-get_0ut_0f_debt-ltd.html
ASA Ruling on Fern Brady,,"A paid-for ad for comedian Fern Brady, seen on the Sky News website on 18 August. The ad contained an image with the text “FERN BRADY” at the top and “I GAVE YOU MILK TO DRINK” overlayed on a stained-glass window. The image contained a woman with Fern Brady’s face, holding a baby, and spraying milk directly from her partially obscured breast into the mouth of a kneeling holy figure.","The complainant challenged whether the ad was offensive, because they believed it mocked the Christian faith.","Fern Brady explained that the image in the ad was a direct recreation of the religious painting titled “The Lactation of St. Bernard”. That artwork, created in the 17th century by Spanish painter Alonso Cano, depicted the Virgin Mary nursing St. Bernard of Clairvaux by spraying milk from her breast into his mouth. The painting was well known within Christian art and had been widely accepted and respected within religious contexts for centuries. The ad creatively referenced that image, by using satire and humour as part of Fern Brady’s comedic brand. The intention was not to mock or belittle the original religious significance, but to offer a contemporary interpretation that aligned with her public persona as a comedian known for her irreverent style and her religious up-bringing. The text “I GAVE YOU MILK TO DRINK” overlayed a stained-glass window, which emphasised the artistic and cultural reference rather than aiming to offend. Efforts had been made to avoid any unintentional offence, in particular by covering Fern’s breast with a beam of light, which differed from the original painting. Fern Brady acknowledged that religious imagery was a sensitive area, and had approached the ad with the knowledge that the original painting was a respected piece of Christian art. However, humour was also subjective, and she believed while some may have found the portrayal distasteful, that did not necessarily mean it was likely to cause serious or widespread offence. Fern Brady believed that in the context of satire and artistic reenactment, the ad instead reflected a long tradition of artistic reinterpretation. Sky UK Ltd told us that the ad was not individually reviewed or cleared for use. They instead followed their standard processes whereby available advertising had to clear their advertiser and category block-lists, which the ad did. They were not aware of receiving any complaints directly.","The CAP Code stated that ads must not contain anything that was likely to cause serious or widespread offence. Particular care must be taken to avoid causing offence on certain grounds, including religion or belief. We acknowledged Fern Brady’s comment that the ad was based on the religious painting titled “The Lactation of St. Bernard”, which we understood showed the miracle of Chatillon-sur-Seine, in which St. Bernard received divine grace from the Virgin Mary. We understood that the painting on which the image was based had been selected for comic effect. Because of the subject matter of Fern Brady’s material, the effect had been compounded by deviations from the original painting, such as her knowing the text “I GAVE YOU MILK TO DRINK”, a ray of light shining through a stained glass window and across her breast, and the more exaggerated presentation of the milk. Regardless of consumers’ familiarity with the painting, or the content of Fern Brady’s work, we considered the ad, which appeared on a general news website, was likely to be seen as depicting the Virgin Mary, a highly revered individual in the Christian tradition, breastfeeding an adult holy figure in a church setting, for the purposes of humour. In that context, we considered that the ad was likely to be seen as mocking the religious figures shown. We therefore concluded that it was likely to cause serious offence to some within the Christian faith who saw the ad on the site. The ad breached CAP Code (Edition 12) rule 4.1 (Harm and offence).","The ad must not appear again in the form complained of, in media in which it was likely to cause serious offence. We told Fern Brady to take care to not cause offence on the grounds of religion in future ads.",https://www.asa.org.uk/rulings/fern-brady-a24-1255841-fern-brady.html
ASA Ruling on 247 Home Furnishings Ltd t/a 247Blinds,,"A website for 247Blinds, www.247blinds.co.uk, seen on 8 July 2024, included the text that stated “Made-to-Measure Quality Blinds…WITHOUT HAVING YOUR EYES OUT! […] Blind envy starts here…” alongside an image of a person with paint splatters and stars over their eyes.","The complainant, who was severely sight impaired, challenged whether the ad was likely to cause serious or widespread offence.","247 Home Furnishings t/a 247 Blinds stated that the term “having your eyes out” was widely recognised as an expression used to signify someone’s eyes popping out in disbelief to show unfavourable surprise when faced with something that was overpriced. Their intention was to convey that customers would be pleasantly surprised by their prices and so would not “have their eyes out” when they saw them. Whilst they acknowledged that the play on words “Quality Blinds” may have been seen as in poor taste, they believed that most people would have found it humorous, rather than seriously offensive. This was the only complaint they had received and it had been viewed on their website by 182,000 users and had been shown on various online platforms, resulting in over 1.7 million impressions during this period. The campaign finished at the end of July and would no longer be available online.","The CAP Code required marketers to ensure that ads did not contain anything that was likely to cause serious or widespread offence, with particular care to be taken to avoid causing offence on the grounds of various protected characteristics, including disability. We acknowledged that the claim “Quality Blinds” was intended as a humorous play on words related to the advertiser’s product, window blinds, and the verb, to blind. We also acknowledged that the claim “Having your eyes out” was an expression known to some people to mean your eyes popping out in disbelief at something, for example, a high price. However, we considered that all the elements of the ad seen together, the play on words, “Quality Blinds”, the use of the expression “WITHOUT HAVING YOUR EYES OUT!” and the image of the person with stars and paint splatters covering their eyes, would be understood as a reference to blindness, and had the effect of making light of the disability. We therefore concluded that the ad was likely to cause serious offence to some people. The ad breached CAP Code (Edition 12) rule 4.1 (Harm and Offence).","The ad must not appear again in the form complained of. We told 247 Home Furnishings Ltd t/a 247 Blinds to ensure that their future ads did not cause serious or widespread offence, particularly on the grounds of disability.",https://www.asa.org.uk/rulings/247-home-furnishings-ltd-a24-1251708-247-home-furnishings-ltd.html
