,Comments,label
815,"""

WP:BURDEN is with you. '''''' Dick Laurent is dead """,1
1618,"It is important as it was by the means of this contest that Colombian artists like Fernando Botero, were able to travel outside colombia and florish as well as to gain name recgnition in Colombia. ( )",0
2828,"https://www.vanityfair.com/style/2017/09/jim-carrey-roasts-fashion-week
Jim Carrey Attends Fashion Week Party Just to Roast Fashion Week Parties
2017-09-11
Jim Carrey, once an actor, now an artiste, and cultural commenter, stopped by New York Fashion Week to neg it. E! News’s Catt Sadler caught up with Carrey on the red carpet of the Harper’s Bazaar Icons party Friday night, and the two-minute clip of their exchange has been percolating on Twitter ever since. After she pointed out that she’d never seen him at the biannual spectacle, he explained to her the following: “There’s no meaning to any of this. So I wanted to find the most meaningless thing that I could come to and join and here I am.” Watch Sadler’s eyes as she fully comprehends what she’s about to endure.

“Celebrating icons,” Carrey says. “Boy, that is just the absolute lowest aiming possibility we could come up with. Do you believe in icons?”

When Sadler started to answer, he interjected, “I don’t believe in personalities. I don’t believe that you exist, but there is a wonderful fragrance in the air.”

Carrey then looked in the camera and gave his speech, “I don’t believe in icons. I don’t believe in personalities. I believe that peace lies beyond personalities, beyond invention and disguise, beyond the red ‘S’ that you wear on your chest, that makes bullets bounce off. I believe that it’s deeper than that. I believe we’re a field of energy dancing for itself, and—uh—I don’t care.” (It wasn’t exactly extemporaneous poetry; the lines are borrowed from a commencement speech he gave in 2014 at Iowa’s Maharishi University of Management).

Yes, he sounded like a liberal-arts student on a particularly mellow week night. And it’s not clear whether he sensed the irony in himself saying all of that while attending the party and wearing a flashy tailored suit (Asked about his get-up, he said, “I didn’t get dressed up. There is no me. There’s just things happening.”).

Carrey’s referendum, despite its slightly unbearable pitch, rings somewhat true amid the backdrop of destruction caused by Hurricanes Harvey and Irma. And Charlottesville. And the general mood of melancholy that has settled over the country like a thick fog. It’s hard to see where the art and commercialism and spectacle of N.Y.F.W. fits into all that. Designers themselves have struggled with that question since the 2016 election, as have many creators in other fields. The world looks different now than it did even last February, and it will somersault a thousand more times before the clothing parade gears again up next February. (But, make no mistake, the parade will go on.)

But that’s not even it, really, Carrey said. “It’s not our world. We don’t matter. That’s the good news.” Great!
",0
1559,"=- Jacob Barnett
                                                                                                                                                                                                                                                                Username: JacobBarnett52698",0
836,"""  And I never got a chance to """"State my Case"""", since your little friend blocked me before I even had the chance to defend myself.  And now I'm permantly blocked because of your lies.  Don't you dare threaten me anymore or tell me to be civil, because I've been nothing but civil towards you, and you've been horrible in return.""",1
1570,"""

I posted a thread about Donny on WP:ANI  on Saturday after he 1) accused me of WP:BITE and then 2) demanded checkuser to clear his name.  I thought that took some nerve, since I haven't run across any newbies who were so conversant with checkuser, but checkuser isn't employed to establish innocence.  In any case, a passing checkuser confirmed that Donny evaded 3RR using IP's.  Whether or not the IP that raised the Iberian/Arabian issue was Donny is probably beside the point - there's no possibility of AGF with Donny anymore.  You've seen FisherQueen's warning, and I agree with her strategy - that comment isn't quite worthy of blocking, but ignoring her warning will be.   (talk) 

By the way, I will be away on vacation - in Wyoming/Montana in fact - later this month for ten days or so.  I have no intention of being anywhere near a computer.  There will be a few folks (including admins) watching my user/talk pages in case of trouble, and I'll suggest they keep an eye on horse-related articles as well.   (talk) """,0
2689,"'Please make babies!' Fans go into overdrive as they beg Prince Harry to DATE Rihanna after the pair meet in Barbados (but what about Meghan?)

Prince Harry, 32, met Rihanna this week during a visit to Barbados 
Pair were pictured laughing and joking together at a special concert 
Songstress was seen teasing Harry when they volunteered for HIV tests
Fans on social media have called for them to start dating and 'have babies'
Harry is dating Meghan Markle while Rihanna is rumoured to be single 


They locked eyes for the first time just two days ago, but fans are already angling for Prince Harry and Rihanna to get together.

Harry, who is dating Suits actress Meghan Markle, joined forces with the Bajan beauty in Barbados this week as part of his 15-day tour of the Caribbean, and the pair were pictured laughing and joking together.

Within minutes of the images appearing online, fans had taken to Instagram to remark on the couple's chemistry and beg them to become a couple.

As well as teaming up for a series of celebratory events to mark the country's 50th anniversary of independence, the pair both volunteered for HIV tests to highlight World Aids Day yesterday.

And fans could barely contain their excitement, with a video of the pair posted online notching up almost 23,000 likes and hundreds of comments.

Instagrammer belledbel wrote: 'Please make babies,' while katytaylor added, 'I know harry is already dating a wonderfully beautiful girl but how about this for a perfect couple!'

Others commented on the 'cute' pairing with courtleigh8 calling them a 'match made in heaven'.

Rihanna, 28, is rumoured to be newly-single after splitting from Canadian rapper and on-off boyfriend Drake, while Harry is well and truly taken.

Commenting beneath a video of the pair together on Kensington Palace's Instagram page, rieyelisa wrote: 'Ummm yes I fully support this union.'

Mallies went as far as saying they'd make 'the cutest babies' with adore_echelon gushing: 'You guys look stunning together oh my goshh.'

One fan declared she would be 'OK if they dated' while Pakittyy remarked: 'RiRi Royalty!'

However not everyone was convinced, with twittyj blasting: 'RiRi & Harry together? No thanks. She's a very talented lady, but not quite princess material. Pop princess, perhaps.'

Mallies went as far as saying they'd make 'the cutest babies' with adore_echelon gushing: 'You guys look stunning together oh my goshh.'

One fan declared she would be 'OK if they dated' while Pakittyy remarked: 'RiRi Royalty!'

However not everyone was convinced, with twittyj blasting: 'RiRi & Harry together? No thanks. She's a very talented lady, but not quite princess material. Pop princess, perhaps.'

Harry met the songstress for the first time on Wednesday and it seems the pair became fast friends as, following their meet in the afternoon, enjoyed an evening at a concert together.

Rihanna joined the royal for a Golden Anniversary Spectacular Mega Concert at the Kensington Oval Cricket Ground the following evening.

Their visit marked the royal's tenth day of his two week official visit to the Caribbean.

With his visit to Barbados coming to an end Harry looked determined to make the most of his evening with the Diamonds singer.

The royal looked dapper in a pair of wine coloured chinos which he paired with a navy shirt for the event.

Harry is nearing the end of his 15-day tour of the Caribbean which has so far taken him to St Kitt's and Nevis, Grenada and St Lucia. He will finish in Guyana with a special visit to the country's President David Granger.
",0
2147,"spider 

Out of curiosity, do you plan on working on individual spider species or Mygalomorphae?",0
474,AHS TO SAY! I DON'T CARE IF YOUR A MODERATOR A MEMBER OR THE FUCKINGL ORD JESUS CHRIST HIMSELF! I MAKE MY OWN DESCISIONS AND DO WHAT I WANT WHEN I WANT! AND NO ONE IS GOING TO STOP ME!,1
674,"Ian Watkins==
It's a realible source. It's a fansite. These people dedicates there lives for these celeberties. Sorry for som incorrect bitch. FUCK YOU. Answeare me ass quick as possible

==",1
