created_at,text,id,edit_history_tweet_ids,label
2025-07-20T17:47:34.000Z,"Priorities unchanged. Another major secured.

The wins keep coming on and off the course for Scottie Scheffler https://t.co/S5QoVUzevk",1946990379942727905,['1946990379942727905'],0
2025-07-13T18:26:47.000Z,"Champions hit back harder.

@janniksin rules the grass in London and makes it four Grand Slams. https://t.co/TXHGNjNzGJ",1944463535297454119,['1944463535297454119'],0
2025-07-13T14:46:31.000Z,"Tokito Oda gets his second grass singles Grand Slam, while Niels Vink wins the quad doubles and completes his singles three-peat in London. https://t.co/fYdwdzYPxI",1944408100074668186,['1944408100074668186'],0
2025-07-11T18:10:36.000Z,"SW19. Sunday. High noon. 

Rackets drawn. https://t.co/htCEJvjoEq",1943734686146044200,['1943734686146044200'],0
2025-06-27T20:06:00.000Z,"Thank you, Faith Kipyegon, for running faster than any woman ever has, just to show us how big to dream. #Breaking4 https://t.co/iROJ2vvHgB",1938690297774645558,['1938690297774645558'],0
2025-06-26T19:29:55.000Z,"Faith Kipyegon had the audacity to dream of doing the impossible.

The fastest woman to ever run the mile just ran it faster at #Breaking4, pushing the world closer to the 4-minute barrier.

It’s not a matter of if a woman will break 4, it’s when. https://t.co/DbQ5RNgwd4",1938318827273551989,['1938318827273551989'],0
2025-06-26T18:09:15.000Z,"All in for one more lap.

Lap 3: 3:00:22

#Breaking4",1938298526750159301,['1938298526750159301'],0
2025-06-26T18:08:16.000Z,"Halfway there.

Lap 2: 2:00:75

#Breaking4",1938298278682235194,['1938298278682235194'],0
2025-06-26T18:07:29.000Z,"One lap down. Three to go.

Lap 1:  1:00:02

#Breaking4",1938298081533145265,['1938298081533145265'],0
2025-06-26T17:45:57.000Z,"Believe in Faith.

Today, Faith Kipyegon will attempt to break the 4-minute mile. Watch as she chases history. #Breaking4

Watch the Livestream: https://t.co/W1yfFT0mOJ",1938292665524883624,['1938292665524883624'],0
2025-06-25T18:50:57.000Z,Stream #Breaking4 live 7:15 PM CEST / 10:15 AM PT. Ways to watch: https://t.co/xE9veouyL7,1937946633301283161,['1937946633301283161'],0
2025-06-25T15:10:17.000Z,"Stream live on Nike’s YouTube, TikTok, Instagram, Twitch and Prime Video.",1937891100829594064,['1937891100829594064'],0
2025-06-25T15:10:15.000Z,"Faith Kipyegon vs. the 4-Minute Mile. Stade Charléty, Paris. June 26th. https://t.co/xc5GqnFcoM",1937891094726840512,['1937891094726840512'],0
2025-06-25T15:09:56.000Z,Gold medals. World titles. World records. Next up: the “impossible” mile. #Breaking4,1937891011381887215,['1937891011381887215'],0
2025-06-18T18:38:32.000Z,"Be it her fellow elite runners, coaches, mentors, or family - she has the strength and support of one linked community around her.

Watch them pull together, June 26th: 
https://t.co/u5X5c21Lfs https://t.co/DIjCOKy1OA",1935406794832244783,['1935406794832244783'],0
2025-06-18T18:38:30.000Z,This same sense of community follows her home. https://t.co/OsUVZxfNPk,1935406785164362126,['1935406785164362126'],0
2025-06-18T18:38:15.000Z,"Throughout her training, Faith leans on the Kenyan concept of Harambee, ""all pull together"" in Swahili. Long runs, warmups, cooldowns, recovery. It's all done as a unit. https://t.co/2ffOpy1qmb",1935406723101245535,['1935406723101245535'],0
2025-06-18T18:38:01.000Z,"Running is no solo act. For Faith Kipyegon, it takes a team to make history.
#Breaking4",1935406663433076917,['1935406663433076917'],0
2025-06-12T21:23:29.000Z,"Faith will also wear a new, one-of-one bra made of Nike FlyWeb, a 3D-printed TPU material optimized for moisture management and a second-skin feel.

Watch the full speed system at work,
June 26th: https://t.co/gIvaPkzez0 https://t.co/JMYXBZzBN8",1933273976505315506,['1933273976505315506'],0
2025-06-12T21:23:03.000Z,"On the day of Breaking4, Faith will sport a new spike silhouette custom created to her specs-the Nike Victory Elite FK.

Light, propulsive, and most importantly, fast. https://t.co/XwoiRX6m2s",1933273870125183219,['1933273870125183219'],0
2025-06-12T21:23:01.000Z,"Enter the Nike Fly Suit.

This bespoke solution features speed suit with a star innovation- Nike Aeronodes. These 3D-printed nodes are designed to cut through the air, reducing the drag pulling on Faith as she runs. https://t.co/KrkKGCJTVz",1933273859056414787,['1933273859056414787'],0
2025-06-12T21:22:29.000Z,"The mission: an aerodynamic and fast system of speed, comprising of a custom speedsuit, bra, and spike. https://t.co/rdpdmBTOhA",1933273725623022066,['1933273725623022066'],0
2025-06-12T21:22:24.000Z,"In her pursuit to break the 4-minute mile, Faith Kipyegon needs a full system of speed engineered to her exact specifications. Nike and Faith have partnered to make this a reality.",1933273705054155114,['1933273705054155114'],0
2025-06-09T17:54:22.000Z,The future of tennis is in good hands. https://t.co/7fWX0qzmMb,1932134189350174787,['1932134189350174787'],0
2025-06-08T19:18:33.000Z,Head. Heart. History. 🏆 https://t.co/ucSkkKeVxw,1931792983982223792,['1931792983982223792'],0
2025-06-07T22:46:34.000Z,"You win some, you win some. Tokito Oda bags his third consecutive title on the clay. https://t.co/z2ZfYIkrch",1931482945392652692,['1931482945392652692'],0
2025-06-07T16:13:39.000Z,"Especially when you believe.

Watch more: https://t.co/F2Pj5d06rW https://t.co/Y5LlR8JbsV",1931384065250459648,['1931384065250459648'],0
2025-06-07T16:13:36.000Z,"To her, it's all worth it. Faith puts in the work to prove to herself, her daughter, and the next generation, that no dream is too big. https://t.co/1zST28B8x1",1931384055314207096,['1931384055314207096'],0
2025-06-07T16:13:21.000Z,"They decided on the ""impossible"" 4-minute mile. To become the first woman in history to break it has meant months of training, a dedicated team of specialists, custom innovation, and a relentless focus. https://t.co/qQG7B1TDA8",1931383989656572003,['1931383989656572003'],0
2025-06-07T16:13:04.000Z,"After Olympic golds, world titles, and world records, Faith and her team asked: what else? https://t.co/vvPdjqLo9c",1931383919829549418,['1931383919829549418'],0
2025-06-07T16:13:02.000Z,They've predicted no woman can break it. That only fuels Faith Kipyegon. #Breaking4,1931383912154178007,['1931383912154178007'],0
2025-06-06T14:08:47.000Z,"It’s not a race against the clock. It’s a race against the “impossible.”

At Breaking4, Faith Kipyegon will dare to become the first woman to break the 4-minute mile. Stream live on YouTube, June 26th at 7:15 PM CEST / 10:15 AM PST: https://t.co/gIvaPkzez0. https://t.co/cWtZx1EL33",1930990254871499138,['1930990254871499138'],0
2025-06-01T23:35:12.000Z,Saved the best for first. Maja Stark makes a major first impression at the U.S. Women's Open Championship. https://t.co/VLxy1pwnq3,1929320858709061788,"['1929313742921376081', '1929320858709061788']",0
2025-05-29T14:00:56.000Z,"The Air Max Dn x LEGO® Collection drops on August 1st. 

Click to get notified: https://t.co/tTMFMyuRn3 https://t.co/qMw9rZRiyR",1928089175275847728,['1928089175275847728'],0
2025-05-29T14:00:54.000Z,"Game. Set. Play.

Welcome to the Nike x LEGO® world.

Stay tuned for more: https://t.co/CG82LU2AYu https://t.co/bUDE5NWqi4",1928089166232822026,['1928089166232822026'],0
2025-05-18T22:54:02.000Z,"The verdict is in. 

World No. 1 Scottie Scheffler is the PGA Champion. https://t.co/0PVASNw4w3",1924237069246738578,['1924237069246738578'],0
2025-05-17T22:27:06.000Z,Any night. Any arena. Any distance. https://t.co/2ia88Lgmfd,1923867903616745851,['1923867903616745851'],0
2025-05-03T16:09:37.000Z,"Say it with us...
She 👏 won 👏 M-V-P P P 
1 👏 2 👏 and 3, 3, 3 https://t.co/27MYTE85G3",1918699476220281273,['1918699476220281273'],0
