id,edit_history_tweet_ids,created_at,text,label
1950592988536615119,['1950592988536615119'],2025-07-30T16:23:03.000Z,my McNugget fell asleep on the beach https://t.co/xzhIug4qhh,0
1949847300739682724,['1949847300739682724'],2025-07-28T14:59:57.000Z,if i had a sesame seed in my teeth would u tell me?,0
1948397131292659818,['1948397131292659818'],2025-07-24T14:57:30.000Z,send this to your ex https://t.co/9lzqMa8MOc,0
1948035668577341806,['1948035668577341806'],2025-07-23T15:01:10.000Z,idk who needs to hear this but there’s a McFlurry in ur freezer,0
1947666063711142211,['1947666063711142211'],2025-07-22T14:32:30.000Z,"straw hat crew rise up, snack wraps are sailing the grand line #ONEPIECE #ONEPIECEDAY https://t.co/uJkcZR2RFD",0
1947312041976344962,['1947312041976344962'],2025-07-21T15:05:44.000Z,some of y’all order without spaces,0
1947311933725479099,['1947311933725479099'],2025-07-21T15:05:18.000Z,“CANIGETABIGMACLARGEFRYEXTRAKETCHUPMEDIUMSPRITEANDMCFLURRYTHANKS”,0
1945543805047820706,['1945543805047820706'],2025-07-16T17:59:24.000Z,im gonna go get a Happy Meal if thats ok with everyone,0
1945500360304410980,['1945500360304410980'],2025-07-16T15:06:46.000Z,some of y’all have middle bun syndrome,0
1945128765568270817,['1945128765568270817'],2025-07-15T14:30:11.000Z,who are u introducing to mom? https://t.co/roK9Ngfl8x,0
1944771429490135322,['1944771429490135322'],2025-07-14T14:50:15.000Z,ordering a 40-piece bc i meal prep,0
1943815403731657025,['1943815403731657025'],2025-07-11T23:31:21.000Z,grimace used to be called evil grimace and had 4 arms to hold more shakes https://t.co/Hqj4yKHrcs https://t.co/MtAvKbmNlj,0
1943761779793789228,['1943761779793789228'],2025-07-11T19:58:16.000Z,u don’t look a day older https://t.co/TLwwePjd5T,0
1943368378871149001,['1943368378871149001'],2025-07-10T17:55:02.000Z,u aged so well https://t.co/QedqGleBq7,0
1943339206903836976,['1943339206903836976'],2025-07-10T15:59:07.000Z,who can text the islanders snack wrap is back https://t.co/Uiw1DFMpO4,0
1943309906880127271,['1943309906880127271'],2025-07-10T14:02:41.000Z,couldn’t decide between ranch or spicy so i got both https://t.co/XSn9WoREmc,0
1943309677472719027,['1943309677472719027'],2025-07-10T14:01:46.000Z,u did it. happy snack wrap day https://t.co/dWUPZhBrlS,0
1943067729579147772,['1943067729579147772'],2025-07-09T22:00:21.000Z,setting my alarm rn https://t.co/ztqnz7fJXR,0
1942954585242394835,['1942954585242394835'],2025-07-09T14:30:46.000Z,heard HR say if ur late to work tomorrow bc u got the first snack wrap at 10:31am ur good,0
1942717328983998574,['1942717328983998574'],2025-07-08T22:47:59.000Z,the best thing on the menu is now spicy. https://t.co/zww3Vg7SfJ,0
1942607365305425946,['1942607365305425946'],2025-07-08T15:31:02.000Z,what do u think his karaoke song is https://t.co/yQZ86LmlcS,0
1942315388961743196,['1942315388961743196'],2025-07-07T20:10:49.000Z,maybe im not the fry u should be stealing,0
1940450419643437509,['1940450419643437509'],2025-07-02T16:40:06.000Z,my worst nightmare https://t.co/wiLo2Cu1tH,0
1940140259339022604,['1940140259339022604'],2025-07-01T20:07:38.000Z,every 90s kid had this fidget toy https://t.co/ns6o6kVT01,0
1937934400374616492,['1937934400374616492'],2025-06-25T18:02:20.000Z,shot this in landscape mode bc it’s like a whole world. Lil McDonald’s Happy Meal out 7.1 https://t.co/Kb4tcDZitB,0
1934774566213095844,['1934774566213095844'],2025-06-17T00:46:17.000Z,the villa is gonna be spicier than mcdonald’s sprite tn,0
1933603327742521541,"['1933598931801296982', '1933603327742521541']",2025-06-13T19:12:12.000Z,last night was a movie https://t.co/jJyIiSaWLT,0
1933361927402762498,['1933361927402762498'],2025-06-13T03:12:58.000Z,i see u grimace https://t.co/F8plfP1vxz,0
1933327455504511195,['1933327455504511195'],2025-06-13T00:55:59.000Z,this is really happening https://t.co/ZO5j5GcppR,0
1933218548136222772,['1933218548136222772'],2025-06-12T17:43:13.000Z,grimace says uhhhhh thank you https://t.co/XzJ3seOECb https://t.co/dufGyfBUvm,0
1933202139838652675,['1933202139838652675'],2025-06-12T16:38:01.000Z,omgrimace https://t.co/Za5jISf8fE,0
1933188942968315989,['1933188942968315989'],2025-06-12T15:45:35.000Z,all aboard the grimace party ship https://t.co/WAyQRRUexK,0
1933180512740556899,['1933180512740556899'],2025-06-12T15:12:05.000Z,using this to get to the bday party tn https://t.co/XC2O4lxUgZ,0
1933180336856604926,['1933180336856604926'],2025-06-12T15:11:23.000Z,take me back https://t.co/MRjBKvSBr4,0
1933170053337194985,['1933170053337194985'],2025-06-12T14:30:31.000Z,wearing these tn https://t.co/8HId1k5NeG,0
1933169156754473322,['1933169156754473322'],2025-06-12T14:26:58.000Z,its beautiful https://t.co/vZV77DkoYz,0
