created_at,id,text,edit_history_tweet_ids,label
2025-06-06T17:14:40.000Z,1931037032144400526,"The adidas Community Animation Pack is out now! 👀
https://t.co/uCmlbYhCwS https://t.co/xHTnWBO1dq",['1931037032144400526'],0
2025-06-03T17:10:58.000Z,1929948939920314630,already iconic 💎🔥 https://t.co/VMeemEH8Op,['1929948939920314630'],0
2025-05-29T22:43:54.000Z,1928220784398365000,What secret talent does @AlexZverev reveal in Ride Home? 🫣,['1928220784398365000'],0
2025-05-29T15:13:29.000Z,1928107433370566752,"🎬 NEW EPISODE: Ride Home with @AlexZverev is here!
Sibling fun. Childhood memories. Mini golf battles. 👇
https://t.co/oTiLlpPIWx https://t.co/GbvwlrGDSs",['1928107433370566752'],0
2025-04-30T16:54:21.000Z,1917623569887928476,Can the @roblox community beat this? https://t.co/0O3NTofvRs https://t.co/cU5BU80c0k,['1917623569887928476'],0
2025-04-30T11:08:05.000Z,1917536427631403395,"We’re still thinking about London. 🤯

On Sunday, Tigist Assefa proved why she’s built for the greatest stage with an incredible new women’s-only marathon world record of 2:15:50.

Moments later, major marathon debutant Sabastian Sawe made a major statement by blowing away the https://t.co/WS3Uqc4RGs",['1917536427631403395'],0
2025-04-26T16:53:02.000Z,1916173688996827188,"What happens when fast runs in the family? 🌍 🔥

It’s a wrap on the fifth edition of Adizero: Road To Records. 120 of our athletes in action, one world record, two U20 world records, four new continental records and four more national records set at adidas HQ 😮‍💨 https://t.co/5K9y76YHZ3",['1916173688996827188'],0
2025-04-18T23:06:54.000Z,1913368672464236583,"LIVE PREMIERE: Exclusively for adidas, a story only a best friend can tell. Get a raw, unfiltered look into the world of Anthony Edwards through the eyes of his best buddy, Nick Maddox in adidas' new Illuminated docu-series. https://t.co/fQgvzgeGVL",['1913368672464236583'],0
2025-03-08T12:21:22.000Z,1898348314048758217,Who makes you believe? #YouGotThis https://t.co/OBlMBzUHmM,['1898348314048758217'],0
2025-03-02T05:12:42.000Z,1896066112024138082,"Tadese Takele takes down Tokyo 🔥🇯🇵

He breaks the pack to claim his first world marathon major – and add his name to history 💨  

👟 #Adizero Adios Pro Evo 1 

#YouGotThis https://t.co/JVwGKepfeJ",['1896066112024138082'],0
2025-01-31T22:12:09.000Z,1885451025441607827,👽 https://t.co/3XvZINY5um,['1885451025441607827'],0
2025-01-07T10:59:50.000Z,1876584526199308430,It’s go time 🏁 https://t.co/F0N0bkOBCn,['1876584526199308430'],0
2024-11-03T21:18:05.000Z,1853184899400016175,"Sheila Chepkirui rules the streets of New York 🗽❤️‍🔥

She speeds to a stunning finish in 2:24:35 – and a first ever world marathon major title 🙌

📸 @nyrr
 #TCSNYCMarathon https://t.co/pPevLX7Rrz",['1853184899400016175'],0
2024-10-27T10:50:49.000Z,1850490329180315892,"Victoria Histórica 🇪🇸👀

The streets of Valencia witnessed a WORLD RECORD victory by Yomif Kejelcha - winning in 57:30 to beat the previous half marathon record by a single second 😱

👟 #adizero Adios Pro Evo 1

#YouGotThis https://t.co/5msyeXv6u7","['1850489822269304990', '1850490329180315892']",0
2024-09-29T10:13:02.000Z,1840333961634983968,"WHAT A WIN in Berlin 🔥💨 

Tigist Ketema dominates the 50th @berlinmarathonE, winning by over two minutes 😎

👟 #adizero Adios Pro Evo 1

#YouGotThis https://t.co/ZTLUkB0NjG",['1840333961634983968'],0
2024-09-15T16:23:04.000Z,1835353650043961686,"This is greatness in motion. 🔥

It was a team adidas takeover in Denmark, as Sabastian Sawe and Margaret Chelimo Kipkemboi secured wins in the Copenhagen half marathon. 🚀

The pursuit of victory has no finish line.

👟 #Adizero Adios Pro Evo 1
⏱️ 58:05 : Sabastian Sawe 
⏱️ https://t.co/GRv1D2ZZM2",['1835353650043961686'],0
2024-09-12T15:03:42.000Z,1834246516912857519,1/1 Delivery completed ✅ ✨ @Roblox https://t.co/kjsySwWCs8 https://t.co/17SEOmM72e,['1834246516912857519'],0
2024-09-07T20:03:38.000Z,1832510056882950459,"DOUBLE delight in the @RunCzech Prague 10k /// 🇨🇿🤩

🥇 Dennis Kitiyo scorches to his first ever road win at this distance 

🥇 Diana Chepkorir dominates in a supreme display aged only 22

👟 #Adizero Takumi Sen 10 

#YouGotThis https://t.co/AqrEfNUm7a",['1832510056882950459'],0
